Monitoring Location,State,Temp_Min,Temp_Max,DO_Min,DO_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,N_Min,N_Max,Fecal_Min,Fecal_Max,Coliform_Min,Coliform_Max,Strepto_Min,Strepto_Max,Cluster
"RIVER RIVER WAINGANGA AT CHHAPARA , SEONI, NEAR WSS INTAKE POINT",MADHYA PRADESH,20.3,24.1,6.9,7.8,7.2,7.9,238.0,368.0,1.2,1.6,0.19,1.6,2.0,7.0,23.0,48.0,,,0
"RIVER WAINGANGA AT CHHAPARA, NEAR ROAD BRIDGE AFTER MIXING
MOTI & CHAMARIYA NALLA, JABALPUR",MADHYA PRADESH,20.7,24.2,5.4,7.8,7.1,7.9,257.0,421.0,1.6,2.4,0.23,1.34,2.0,10.0,39.0,150.0,,,0
"RIVER WAINGANGA AT BALAGHAT, M.P.",MADHYA PRADESH,20.2,24.2,7.2,7.7,7.2,7.8,270.0,519.0,1.6,1.9,0.03,1.6,2.0,17.0,15.0,170.0,,,0
"RIVER WAINGANGA AT BAPERA, BHANDARA, (MAHARASHTRA)",MAHARASHTRA,21.0,21.0,6.0,6.0,8.6,8.6,736.0,736.0,3.0,3.0,0.68,0.68,22.0,22.0,120.0,120.0,2,2,0
"RIVER WAINGANGA AT U/S OF ELLORA PAPER MILLS, VILLAGE. TUMSAR, TALUKA. TUMSAR, DISTRICT.
BHANDARA.",MAHARASHTRA,18.0,39.0,6.0,6.7,7.7,8.7,667.0,1210.0,3.0,3.2,0.3,2.87,12.0,42.0,120.0,280.0,2,2,0
"RIVER WAINGANGA AT D/S OF ELLORA PAPER MILLS, VILLAGE. TUMSAR, TALUKA. TUMSAR, DISTRICT.
BHANDARA.",MAHARASHTRA,18.0,39.0,5.5,6.8,7.8,8.8,739.0,1290.0,3.0,3.5,0.3,1.12,24.0,43.0,210.0,430.0,2,2,0
"RIVER WAINGANGA AT U/S OF GAURAV PAPER MILLS, NEAR JACKWELL, VILLAGE. BRAMHPURI, TALUKA.
CHANDRAPUR, DISTRICT. CHANDRAPUR.",MAHARASHTRA,19.0,22.0,5.7,7.0,7.9,8.8,654.0,1230.0,3.0,3.4,0.3,3.24,11.0,43.0,170.0,350.0,2,2,0
"RIVER WAINGANGA AT D/S OF GAURAV PAPER MILLS, NEAR JACKWELL VILLAGE. BRAMHPURI, TALUKA. CHANDRAPUR, DISTRICT. CHANDRAPUR.",MAHARASHTRA,19.0,22.0,5.5,6.7,7.8,8.8,549.0,1375.0,3.2,4.5,0.3,3.22,17.0,47.0,110.0,430.0,2,2,0
"RIVER WAINGANGA  AFTER CONFLUENCE WITH KANHAN RIVER, VILLAGE- AMBHORA,TALUKA- KUHI,
DISTRICT- NAGPUR.",MAHARASHTRA,16.0,21.0,3.9,6.1,7.6,9.0,789.0,1126.0,3.1,5.0,0.3,1.14,12.0,38.0,110.0,280.0,2,2,0
"RIVER WAINGANGA AT ASHTI, VILLAGE. ASHTI, TALUKA. GONDPIPRI, DISTRICT.CHANDRAPUR.",MAHARASHTRA,19.0,23.0,2.5,6.1,7.9,8.8,674.0,1251.0,3.2,8.4,0.3,3.24,14.0,34.0,94.0,220.0,2,2,0
"RIVER WARDHA AT VILLAGE BANGAON NEAR
PANDHURNA (MP & MAHARASHTRA)","MADHYA
PRADESH",26.0,31.0,8.0,8.4,8.1,8.3,266.0,394.0,1.2,2.1,0.48,0.5,2.0,2.0,63.0,100.0,2,2,0
"RIVER WARDHA AT PULGAON RAILWAY BRIDGE, VILLAGE- PULGAON,TALUKA - WARDHA, DISTRICT-
WARDHA.",MAHARASHTRA,16.0,18.0,5.8,6.7,7.9,8.8,762.0,1080.0,3.0,3.6,0.3,2.87,24.0,43.0,110.0,220.0,2,2,0
"RIVER WARDHA  AT U/S OF ACC LTD. GHUGGUS NEAR
WCL PUMP HOUSE, VILLAGE- GHUGGUS, TALUKA- CHANDRAPUR, DISTRICT- CHANDRAPUR.",MAHARASHTRA,19.0,20.0,5.8,6.6,7.8,8.7,892.0,5473.0,3.0,3.2,0.3,3.01,6.0,41.0,130.0,350.0,2,2,0
"RIVER WARDHA AT D/S OF ACC LTD. GHUGGUS NEAR
WCL PUMP HOUSE, VILLAGE- GHUGGUS, TALUKA- CHANDRAPUR, DISTRICT- CHANDRAPUR.",MAHARASHTRA,19.0,20.0,5.2,6.1,7.8,8.8,549.0,1370.0,3.0,4.6,0.3,3.33,11.0,40.0,120.0,430.0,2,2,0
"RIVER WARDHA AT CONFLUENCE POINT OF PENGANGA & WARDHA. VILLAGE. JUGAD, TALUKA. WANI, DISTRICT.
YAVATMAL.",MAHARASHTRA,19.0,20.0,5.3,6.0,7.8,8.7,750.0,1210.0,3.0,4.0,0.3,4.07,12.0,38.0,110.0,280.0,2,2,0
"RIVER WARDHA AT U/S OF ERAI RIVER AT HADASTI
NEAR ARUN ENGG. WORKS, VILLAGE- HADASTI, TALUKA- CHANDRAPUR, DISTRICT- CHANDRAPUR.",MAHARASHTRA,19.0,23.0,5.6,6.5,7.9,8.8,698.0,1290.0,3.0,3.9,0.3,3.18,13.0,41.0,110.0,350.0,2,2,0
"RIVER WARDHA AT D/S OF ERAI RIVER AT HADASTI NEAR ARUN ENGG. WORKS, VILLAGE- HADASTI,
TALUKA- CHANDRAPUR, DISTRICT- CHANDRAPUR.",MAHARASHTRA,19.0,23.0,5.4,6.2,7.7,8.8,722.0,1390.0,3.2,4.2,0.3,3.22,20.0,47.0,170.0,430.0,2,2,0
"RIVER WARDHA AT RAJURA BRIDGE, VILLAGE- RAJURA, TALUKA- CHANDRAPUR, DISTRICT- CHANDRAPUR.",MAHARASHTRA,19.0,23.0,5.2,6.5,7.9,8.7,660.0,1162.0,3.0,3.8,0.3,3.31,14.0,43.0,120.0,280.0,2,2,0
"RIVER WENA AT U/S OF MOHATA MILLS, NEAR RAILWAY BRIDGE ON WARDHA, CHANDRAPUR RAILWAY LINE,
VILLAGE- HINGANGHAT, TALUKA- HINGANGHAT, DISTRICT- WARDHA.",MAHARASHTRA,16.0,20.0,5.8,6.8,8.1,8.8,936.0,1142.0,3.0,3.4,0.3,3.36,17.0,43.0,210.0,350.0,2,2,0
"RIVER WENA AT D/S OF MOHATA MILLS, NEAR  BRIDGE ON HINGANGHAT- WADNER ROAD,  VILLAGE-
HINGANGHAT, TALUKA- HINGANGHAT,  DISTRICT- WARDHA.",MAHARASHTRA,16.0,20.0,5.1,6.7,8.0,8.8,976.0,1236.0,3.0,3.8,0.3,2.89,20.0,48.0,280.0,540.0,2,2,0
"RIVER KRISHNA AT DHOM DAM, VILLAGE- WAI, TALUKA- MAHABALESHWAR, DISTRICT-SATARA.",MAHARASHTRA,22.0,30.0,0.3,6.6,2.0,8.0,5.0,137.0,1.0,3.0,0.3,1.65,2.0,20.0,2.0,250.0,2,14,0
"RIEVR KRISHNA AT GANPATI GHAT, WAI, VILLAGE- WAI,TALUKA- WAI,DISTRICT- SATARA.",MAHARASHTRA,25.0,31.0,5.1,6.3,7.4,8.2,230.0,3504.0,2.8,5.8,0.3,1.56,8.0,30.0,85.0,250.0,2,14,0
"RIVER KRISHNA AT KSHETRA MAHULI, VILLAGE-
KSHETRA-MAHULI,TALUKA- MAHULI, DISTRICT- SATARA.",MAHARASHTRA,23.0,29.0,5.1,6.3,7.9,8.5,342.0,620.0,2.5,5.4,0.3,3.62,9.0,110.0,170.0,425.0,4,20,0
"RIVER KRISHNA  AT KRISHNA- VENNA SANGAM MAHULI , VILLAGE- MAHULI,TALUKA- MAHULI, DISTRICT- SATARA.",MAHARASHTRA,25.0,30.0,4.7,6.4,7.1,8.2,293.0,4553.0,3.0,8.4,0.3,2.88,9.0,45.0,150.0,425.0,4,17,0
"RIVER KRISHNA AT OLD  KRISHNA BRIDGE, KARAD
STATION ROAD , KARAD, TALUKA- KARAD, DISTRICT- SATARA.",MAHARASHTRA,25.0,31.5,5.3,6.2,7.5,8.1,82.0,2086.0,2.8,5.2,0.3,1.74,8.0,30.0,140.0,250.0,4,14,0
"RIVER KRISHNA AT WALWA, D/S OF ISLAMPUR NEAR VITHAL TEMPLE, VILLAGE- WALWA, TALUKA- WALWA, DISTRICT- SANGLI.",MAHARASHTRA,26.0,30.0,5.8,7.8,7.7,8.7,50.0,4273.0,1.8,3.0,0.42,3.77,5.0,10.0,20.0,48.0,2,2,0
"RIVER KRISHNA AT MAIGHAT, VILLAGE- GAWALI GALLY, TALUKA- MIRAJ,  DISTRICT- SANGLI.",MAHARASHTRA,8.1,28.0,5.2,7.8,7.4,8.7,221.0,4394.0,1.8,4.0,0.32,2.56,6.0,10.0,17.0,38.0,2,2,0
"RIVER KRISHNA AT KURUNDWAD, KOLHAPUR, (MAHARASHTRA)",MAHARASHTRA,22.0,22.0,5.1,5.1,8.1,8.1,659.0,659.0,5.8,5.8,1.67,1.67,17.0,17.0,250.0,250.0,7,7,0
"RIVER KRISHNA AT KURUNDWAD NEAR SANTAJI GHORPADE GHAT, VILLAGE.NARSHINGWADI, KURUNDWAD, TALUKA. SHIROL, DISTRICT. KOLHAPUR.",MAHARASHTRA,24.0,28.0,5.3,7.7,7.7,8.6,156.0,735.0,1.8,3.0,0.49,4.52,6.0,10.0,24.0,40.0,2,2,0
"RIVER KRISHNA AT RAJAPUR WEIR, VILLAGE. RAJAPUR, TALUKA. SHIROL, DISTRICT. KOLHAPUR.",MAHARASHTRA,24.0,28.0,5.3,7.6,7.6,8.6,157.0,1016.0,1.8,3.0,0.58,3.6,6.0,9.0,21.0,46.0,2,2,0
"RIVER KRISHNA - ANKALI BRIDGE ALONG CHIKKODI
KAGWAD ROAD",KARNATAKA,24.0,31.0,6.3,8.5,6.3,9.0,274.0,956.0,1.0,3.9,5.61,23.0,350.0,920.0,920.0,1600.0,220,540,0
RIVER KRISHNA AT U/S OF UGARKHURD BARRAGE,KARNATAKA,25.0,32.0,6.5,8.1,6.2,8.9,210.0,960.0,1.0,3.5,5.9,19.26,540.0,920.0,920.0,1600.0,240,540,0
RIVER KRISHNA AT ASANGI VILLAGE (JAMAKANDI VILLAGE),KARNATAKA,18.0,21.0,5.9,11.7,6.3,8.8,260.0,2080.0,1.2,17.0,1.36,32.35,350.0,920.0,920.0,1600.0,170,540,0
"RIVER KRISHNA AT ALMATTI DAM HAVELI , OLD
JACKWELL POINT, BAGALKOTE",KARNATAKA,18.0,21.0,6.4,11.8,8.0,8.5,396.0,948.0,1.1,2.9,2.41,24.94,540.0,920.0,1600.0,1600.0,240,540,0
RIVER KRISHNA AT D/S OF ALAMATTI DAM,KARNATAKA,28.0,32.0,5.6,8.7,7.0,8.8,280.0,1378.0,1.0,4.8,2.0,17.22,350.0,920.0,920.0,1600.0,240,540,0
RIVER KRISHNA AT D/S OF NARAYANPURA DAM,KARNATAKA,28.0,32.0,6.3,8.6,7.0,8.8,272.0,1388.0,1.0,4.3,1.12,10.6,280.0,1840.0,920.0,3200.0,130,1080,0
RIVER KRISHNA AT TINTINI BRIDGE,KARNATAKA,27.0,32.0,6.7,8.0,8.2,8.7,685.0,1961.0,2.0,3.2,0.5,3.6,170.0,460.0,920.0,2700.0,,,0
RIVER KRISHNA AT DEODURGA (BANGALORE),KARNATAKA,25.0,28.0,6.4,13.2,7.9,8.7,1104.0,2060.0,1.0,1.0,0.0,1.42,79.0,2800.0,350.0,16000.0,,,0
"RIVER KRISHNA AT THANGADI, THANGADI(V), KRISHNA(M), NARAYANAPET(D)",TELANGANA,25.0,28.2,5.2,6.2,7.4,8.3,312.0,1293.0,1.2,2.8,0.3,6.0,2.0,2.0,13.0,58.0,2,2,0
RIVER KRISHNA AT D/S OF DEVASAGAR BDG.,KARNATAKA,24.0,32.0,6.5,8.5,8.1,8.6,894.0,1750.0,2.2,3.5,0.45,9.68,220.0,580.0,920.0,2800.0,,,0
"RIVER KRISHNA AT GADWAL BRIDGE,NADHI
AGRAHARAM, GADWAL(MUNCI.), JOGULAMBA GADWAL(D)",TELANGANA,24.0,28.4,5.1,6.2,7.3,8.4,344.0,1792.0,1.2,3.6,0.4,6.0,2.0,2.0,21.0,70.0,2,2,0
"RIVER KRISHNA AT JOGULAMBA TEMPLE, ALAMPUR(V&M), JOGULAMBA GADWAL(D)",TELANGANA,25.0,28.9,4.4,6.2,7.0,8.3,512.0,1692.0,1.4,3.2,0.4,12.0,2.0,10.0,21.0,170.0,2,2,0
"RIVER KRISHNA A/C WITH TUNGABHADRA, SANGAMESHWARAM (V), KOTTAPALLE (M)",ANDHRA PRADESH,20.0,28.0,5.3,6.2,6.9,8.2,531.0,1714.0,1.0,2.0,0.35,0.94,102.0,303.0,549.0,1046.0,,,0
"RIVER KRISHNA D/S OF SRISHAILAM, SRISHAILAM","ANDHRA
PRADESH",19.0,29.0,5.3,6.2,6.9,8.0,580.0,842.0,1.0,1.7,0.34,1.31,152.0,343.0,479.0,921.0,,,0
"RIVER KRISHNA BEFORE CONFLUENCE OF RIVER MUSI AT WADAPALLY (V), DAMARACHARLA (M), NALGONDA
(D)",TELANGANA,17.0,24.0,6.2,7.6,6.8,8.4,852.0,1281.0,2.2,3.4,14.12,35.15,6.0,6.0,33.0,41.0,4,5,0
"RIVER KRISHNA - CONFLUENCE OF RIVER KRISHNA & RIVER MUSI AT WADAPALLY (V), DAMARCHARLA (M),
NALGONDA DISTRICT",TELANGANA,17.0,25.0,5.4,7.2,7.2,8.6,1010.0,1311.0,2.1,4.1,15.22,35.23,8.0,9.0,27.0,39.0,6,6,0
"RIVER KRISHNA AFTER CONFLUENCE WITH RIVER MUSI
AT VADAPALLI (V), DACHEPALLI (M) BETWEEN ANDHRA PRADESH & TELANGANA STATES",ANDHRA PRADESH,23.0,25.0,6.9,7.6,7.2,8.1,621.0,998.0,2.6,2.9,1.27,1.86,4.0,39.0,43.0,470.0,2,3,0
"RIVER KRISHNA AFTER CONFLUENCE OF RIVER MUSI AT WADAPALLY (V), DAMARACHARLA (M), NALGONDA(D)",TELANGANA,18.0,25.0,6.0,7.9,7.3,8.4,926.0,1296.0,2.2,16.0,15.15,41.13,6.0,6.0,33.0,43.0,4,4,0
"RIVER KRISHNA AT MATTEPALLY, 500 MTS. BEFORE BATHING GHAT, SURYAPET",TELANGANA,18.0,24.0,5.9,7.2,7.0,8.5,834.0,1319.0,2.2,3.9,16.16,44.27,6.0,7.0,34.0,43.0,4,5,0
"RIVER KRISHNA AT PULICHINTALA RESERVOIR AT
CHINTHALAPALEM (V&M), SURYAPET (D)",TELANGANA,19.0,24.0,5.8,7.0,7.0,8.6,862.0,1357.0,2.0,3.0,8.16,33.17,4.0,5.0,31.0,41.0,2,2,0
"RIVER KRISHNA AT VEDADRI (V),  JAGGAYYAPETA (M)",ANDHRA PRADESH,25.0,27.0,7.1,7.7,7.2,8.2,772.0,950.0,2.4,2.8,1.05,1.76,4.0,28.0,64.0,470.0,2,4,0
"RIVER KRISHNA AT AMARAVATI,  AMARAVATI (V & M)",ANDHRA PRADESH,22.0,25.0,6.9,7.7,7.3,8.1,664.0,882.0,2.3,2.9,1.05,1.65,7.0,39.0,75.0,460.0,2,4,0
"RIVER KRISHNA, PAVITHRA SANGAMAM, AFTER CONFLUENCE WITH RIVER GODAVARI WATER, FERRY
(V), IBRAHIMPATNAM (M)",ANDHRA PRADESH,24.0,25.0,7.1,7.6,7.2,8.1,406.0,830.0,2.2,2.8,0.86,1.64,4.0,14.0,43.0,470.0,2,3,0
RIVER KRISHNA AT VIJAYWADA TOWN,ANDHRA PRADESH,24.0,24.0,7.1,7.8,7.2,8.1,520.0,788.0,2.4,2.8,0.64,1.26,4.0,15.0,64.0,470.0,2,3,0
"RIVER KRISHNA D/S OF RAMALINGESHWARNAGAR A/C WITH TREATED SEWAGE DISCHARGING FROM 10MLD STP LOCATED AT RAMALINGESHWARNAGAR,
VIJAYAWADA, KRISHNA",ANDHRA PRADESH,25.0,25.0,7.2,7.2,7.8,7.8,796.0,796.0,2.8,2.8,1.44,1.44,11.0,11.0,75.0,75.0,2,2,0
RIVER KRISHNA AT HAMSALADEEVI PULIGADDA AQUEDUCT NEAR AVANIGADDA (V),ANDHRA PRADESH,25.0,28.0,6.1,6.9,7.6,8.2,7770.0,27420.0,2.6,2.8,0.83,1.27,4.0,11.0,43.0,380.0,2,2,0
"RIVER NIRA  AT SAROLA BRIDGE, VILLAGE- SAROLA, TALUKA-BHOR, DISTRICT- PUNE.",MAHARASHTRA,27.0,30.0,4.9,6.5,7.7,8.5,128.0,1577.0,2.2,7.2,0.3,3.48,7.0,65.0,115.0,425.0,2,14,0
"RIVER NIRA  AT SHINDEWADI,  VILLAGE- SHIRVAL,
TALUKA- KHANDALA, DISTRICT- SATARA.",MAHARASHTRA,25.0,30.0,5.4,6.4,7.3,8.6,75.0,264.0,3.0,4.5,0.3,2.05,7.0,25.0,75.0,250.0,2,9,0
"RIVER NIRA AT U/S OF JUBILANT ORGANOSIS, VILLAGE- NIRA (DATTAGHAT),TALUKA- BARAMATI, DISTRICT-
PUNE.",MAHARASHTRA,26.0,30.0,5.3,6.2,7.9,8.5,483.0,944.0,3.0,6.2,0.3,3.38,7.0,65.0,120.0,275.0,2,13,0
"RIVER NIRA AT D/S OF JUBILANT ORGANOSIS,  VILLAGE-
NIMBUT, TALUKA- BARAMATI, DISTRICT- PUNE.",MAHARASHTRA,26.0,30.0,4.9,5.8,7.3,8.4,621.0,1273.0,3.8,7.5,0.3,4.88,7.0,120.0,150.0,900.0,2,25,0
"RIVER NIRA AT SANGAVI, VILLAGE- SANGAVI, TALUKA-
PHALTAN, DISTRICT- SATARA.",MAHARASHTRA,25.0,32.0,4.3,5.6,8.0,8.4,1567.0,6941.0,4.4,14.0,0.3,2.54,9.0,110.0,130.0,550.0,4,25,0
"RIVER VENNA AT MAHABALESHWAR, VILLAGE. MAHABALESHWAR, TALUKA. MAHABALESHWAR, DISTRICT. SATARA.",MAHARASHTRA,20.0,32.0,5.7,6.6,6.6,8.3,42.0,686.0,2.2,3.6,0.3,2.11,7.0,30.0,95.0,250.0,2,8,0
"RIVER VENNA AT VARYE, VILLAGE - VARYE,TALUKA- SATARA, DISTRICT- SATARA.",MAHARASHTRA,23.0,31.0,5.3,6.4,7.6,8.3,177.0,445.0,2.6,5.0,0.3,1.96,7.0,30.0,85.0,225.0,2,11,0
"RIVER VENNA AT MAHULI, VILLAGE- MAHULI, TALUKA- MAHULI, DISTRICT- SATARA.",MAHARASHTRA,23.0,30.0,4.8,6.2,7.4,8.2,206.0,553.0,2.8,6.4,0.3,2.82,8.0,65.0,95.0,350.0,4,13,0
"RIVER MUSI AT BAPUGHAT SANGAM, HYDERABAD",TELANGANA,25.0,29.0,0.3,3.0,6.8,7.9,384.0,1526.0,2.2,14.0,2.08,8.2,4.0,350.0,280.0,920.0,2,6,0
"RIVER MUSI AT MOOSARAMBAGH BRIDGE, HYDERABAD",TELANGANA,24.0,27.8,0.3,1.1,6.8,7.6,784.0,1474.0,5.2,14.0,3.4,9.2,8.0,63.0,430.0,920.0,2,7,0
"RIVER MUSI AT NAGOLE, RANGA REDDY",TELANGANA,24.0,28.0,0.3,0.3,6.9,7.8,1027.0,1621.0,6.0,15.0,3.2,9.0,6.0,58.0,350.0,920.0,2,12,0
"RIVER MUSI - OUTLET OF NALLA CHERUVU,
PEERAJADIGUDA, RANGAREDDY",TELANGANA,24.0,28.9,0.3,0.3,7.0,7.9,1040.0,1794.0,6.0,16.0,3.0,12.5,11.0,48.0,350.0,920.0,2,21,0
"RIVER MUSI AT PEERAJADIGUDA, RANGA REDDY",TELANGANA,24.0,29.0,0.3,0.8,7.0,7.4,1022.0,1502.0,5.8,14.0,3.0,10.8,14.0,48.0,350.0,1600.0,2,12,0
"RIVER MUSI - D/S AT PRATAPASINGARAM , SHAMSHABAD",TELANGANA,24.0,28.0,0.3,1.2,6.8,7.7,1005.0,1488.0,5.2,16.0,2.6,13.6,11.0,84.0,350.0,920.0,4,14,0
"RIVER MUSI AT PILLAIPALLI, RANGAREDDY",TELANGANA,24.0,27.2,0.3,3.2,7.0,7.5,998.0,1504.0,4.0,6.0,2.6,11.84,11.0,70.0,350.0,1600.0,2,15,0
"RIVER MUSI  AT RUDRAVELLY BRIDGE,YADADRI",TELANGANA,18.0,23.0,5.9,7.0,6.8,8.2,1025.0,1832.0,2.1,6.1,23.15,38.16,7.0,8.0,70.0,92.0,5,6,0
"RIVER MUSI AT VALIGONDA BRIDGE, NALGONDA DIST",TELANGANA,18.0,23.0,5.9,7.6,6.7,8.3,1159.0,1802.0,2.0,5.8,20.15,43.15,8.0,9.0,79.0,110.0,6,6,0
"RIVER MUSI AT SOLIPET (KASANIGUDA), NALGONDA",TELANGANA,18.0,25.0,6.3,7.6,7.4,8.5,1101.0,1724.0,2.0,4.7,16.08,35.08,7.0,8.0,49.0,70.0,5,6,0
"RIVER MUSI AT BHEEMARAM BRIDGE, BHEEMARAM (V), KETHEPALLY (M), NALGONDA (D)",TELANGANA,19.0,24.0,5.4,7.5,7.5,8.5,1154.0,2245.0,2.2,3.6,18.21,38.15,5.0,6.0,33.0,41.0,4,4,0
"RIVER MUSI BEFORE CONFLUENCE OF RIVER KRISHNA AT WADAPALLY (V), DAMARACHARLA (M), NALGONDA(D)",TELANGANA,18.0,24.0,6.0,7.2,7.3,8.6,1121.0,1648.0,2.3,3.1,10.1,28.13,6.0,8.0,39.0,44.0,6,7,0
"RIVER BHIMA AT PUNE (MUTHA RIVER) AT U/S OF VITHALWADI NEAR SHANKAR MANDIR, VILLAGE.
VITHALWADI, TALUKA. HAWELI, DISTRICT. PUNE.",MAHARASHTRA,27.5,29.0,2.9,4.1,7.1,7.9,499.0,693.0,17.9,27.0,0.3,4.9,10.0,225.0,275.0,1800.0,6,40,0
"RIVER BHIMA AT D/S OF BUNDGARDEN, VILLAGE YERWADA, TALUKA. HAWELI, DISTRICT. PUNE.",MAHARASHTRA,27.0,29.0,3.3,4.5,6.9,7.8,339.0,683.0,10.4,23.0,0.0,3.45,25.0,250.0,425.0,1800.0,9,25,0
"RIVER BHIMA AT KOREGAON NEAR KOREGAON BRIDGE,
VILLAGE- KOREGAON,TALUKA- SHIRUR, DISTRICT- PUNE.",MAHARASHTRA,26.0,29.0,5.0,6.2,7.4,8.3,210.0,726.0,3.0,5.4,0.3,5.4,9.0,45.0,200.0,550.0,3,17,0
"RIVER BHIMA AFTER CONFLUENCE WITH MULA-MUTHA
AT PARGAON NEAR VASANT BANDARA,VILLAGE- PARGAON,TALUKA- DAUND, DISTRICT- PUNE.",MAHARASHTRA,27.0,29.0,4.2,5.8,7.4,8.0,347.0,1603.0,4.0,10.9,0.3,11.12,8.0,200.0,110.0,900.0,4,25,0
"RIVER BHIMA  AT DAUND NEAR MAHADEV
TEMPLE,VILLAGE- DAUND, TALUKA- DAUND, DISTRICT- PUNE.",MAHARASHTRA,27.0,30.0,4.5,5.8,7.5,8.1,349.0,1621.0,3.4,8.5,0.3,10.78,10.0,115.0,95.0,900.0,2,20,0
"RIVER BHIMA BACKWATER OF UJANI DAM, NEAR RAW WATER PUMP HOUSE, VILLAGE- KUMBARGAON, TALUKA- INDAPUR, DISTRICT- PUNE.",MAHARASHTRA,27.0,30.0,4.9,6.2,7.4,8.3,332.0,967.0,2.8,7.5,0.3,5.09,7.0,85.0,170.0,350.0,2,14,0
"RIVER BHIMA AT NARSINGPUR  NEAR SANGAM BRIDGE AFTER CONFLUENCE WITH NIRA, VILLAGE- NARSINGPUR, TALUKA-MALSHIRAS, DISTRICT-
SOLAPUR.",MAHARASHTRA,29.0,36.0,5.3,6.4,8.0,8.4,722.0,6664.0,3.2,7.6,0.3,2.77,7.0,120.0,75.0,425.0,2,25,0
"RIVER BHIMA AT TAKLI, SOLAPUR, (MAHARASHTRA)",MAHARASHTRA,22.0,22.0,4.9,4.9,8.3,8.3,1656.0,1656.0,7.8,7.8,1.11,1.11,45.0,45.0,350.0,350.0,17,17,0
"RIVER BHIMA AT TAKLI NEAR KARNATAKA BORDER, VILLAGE- TAKALI, TALUKA- SOUTH SOLAPUR,  DISTRICT-
SOLAPUR.",MAHARASHTRA,29.0,36.0,4.4,6.3,7.8,8.4,950.0,2383.0,2.5,10.4,0.3,2.23,6.0,45.0,80.0,550.0,2,14,0
"RIVER BHIMA DOWNSTREAM, DHULKED VILL",KARNATAKA,29.0,29.0,6.0,10.0,7.0,8.5,826.0,1620.0,1.2,2.9,2.27,8.15,540.0,920.0,1600.0,1600.0,280,540,0
RIVER BHIMA AT D/S OF ROAD BRIDGE AT GANGAPUR VILLAGE,KARNATAKA,25.0,31.0,6.0,8.6,7.4,8.5,1050.0,2010.0,3.0,8.0,0.48,3.51,230.0,260000.0,1600.0,280000.0,,,0
RIVER BHIMA AT FEROZABAD VILLAGE (D/S),KARNATAKA,24.0,32.0,6.5,11.6,7.7,8.8,880.0,1295.0,2.0,4.0,0.51,67.0,140.0,23000.0,1100.0,350000.0,,,0
RIVER BHIMA AT CONFLUENCE OF JEWARGI TOWN SEWAGE DISPOSAL POINT,KARNATAKA,24.0,32.0,5.6,12.0,7.7,8.6,818.0,1278.0,2.0,3.3,0.46,6.9,20.0,700.0,350.0,5400.0,,,0
RIVER BHIMA AT GANGAPUR (BANGALORE),KARNATAKA,24.0,28.0,7.1,8.7,8.1,8.6,1270.0,2198.0,4.0,6.7,0.0,3.72,790.0,2200.0,4900.0,9200.0,,,0
RIVER BHIMA AT D/S OF BDG. NEAR YADGIR,KARNATAKA,26.0,34.0,7.0,8.0,8.1,8.5,390.0,1473.0,2.0,3.0,0.35,11.56,33.0,490.0,280.0,2800.0,,,0
"RIVER HUNDRI AT GAJULADINNE RESERVOIR GAJULADINNE (V),GONEGANDLA (M)",ANDHRA PRADESH,21.0,29.0,5.5,6.2,6.9,8.1,547.0,896.0,1.3,2.5,0.34,1.29,173.0,378.0,501.0,980.0,,,0
"RIVER HUNDRI AT LAXMIPURAM (V),  KALLUR (M)",ANDHRA PRADESH,22.0,28.0,5.4,6.3,7.4,8.1,1152.0,1479.0,1.0,2.8,0.93,2.12,146.0,320.0,575.0,816.0,,,0
RIVER BHADRA AT MALLESWARAM D/S OF KIOCL,KARNATAKA,20.0,25.0,6.6,7.7,7.0,8.2,70.0,164.0,1.6,2.0,0.3,0.6,12.0,40.0,110.0,350.0,,,0
RIVER BHADRA AT U/S OF KIOCL,KARNATAKA,20.0,25.0,6.6,7.9,6.9,8.2,61.0,150.0,1.2,2.0,0.3,0.52,11.0,40.0,110.0,350.0,,,0
RIVER BHADRA AT U/S OF MPM,KARNATAKA,26.0,27.0,6.6,8.1,7.0,8.1,103.0,250.0,1.0,2.4,0.3,0.83,13.0,93.0,110.0,1600.0,,,0
RIVER BHADRA AT D/S OF BHADRAVATHI,KARNATAKA,26.0,28.0,4.9,8.0,7.0,8.5,100.0,250.0,1.5,2.9,0.3,1.53,78.0,390.0,920.0,2400.0,,,0
"RIVER BHADRA D/S MYSORE PAPER MILL (MPM), BHADRAWATI, SHIVAMOGGA",KARNATAKA,26.0,27.0,6.7,9.5,7.1,8.4,111.0,190.0,1.3,3.3,0.3,0.96,11.0,310.0,110.0,2400.0,,,0
"RIVER BHADRA AT D/S OF KIOCL ROAD BRIDGE, NEAR
HOLEHUNNUR",KARNATAKA,26.0,28.0,6.0,7.8,7.0,7.9,122.0,200.0,1.2,2.8,0.3,1.2,13.0,270.0,140.0,1300.0,,,0
"RIVER CHANDRABHAGA AT U/S OF PANDHARPUR TOWN, VILLAGE. GURSALE, TALUKA. PANDHARPUR, DISTRICT. SOLAPUR.",MAHARASHTRA,25.0,36.0,4.7,6.2,7.7,8.4,672.0,9529.0,3.0,8.3,0.3,2.12,9.0,45.0,110.0,550.0,4,25,0
