Monitoring Location,State,Temp_Min,Temp_Max,DO_Min,DO_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,N_Min,N_Max,Fecal_Min,Fecal_Max,Coliform_Min,Coliform_Max,Strepto_Min,Strepto_Max,Cluster
RIVER SUTLEJ AT NOORPUR BEDI ROAD (PUNJAB),PUNJAB,19.5,24.0,7.1,9.8,7.7,8.3,257.0,333.0,1.0,5.0,0.32,1.1,200.0,13000.0,1700.0,350000.0,130,700,0
"RIVER SUTLEJ AT D/S KIRATPUR SAHIB, PUNJAB",PUNJAB,14.0,28.0,7.2,9.4,7.0,8.3,227.0,290.0,1.0,1.0,0.7,5.9,33.0,250.0,120.0,580.0,,,0
"RIVER SUTLEJ AT D/S NFL, PUNJAB",PUNJAB,16.0,22.0,7.0,12.1,7.4,8.3,206.0,274.0,1.0,1.0,0.8,3.1,17.0,100.0,70.0,330.0,,,0
"RIVER SUTLEJ AT 100 MT. D/S OF PACL, NANGAL",PUNJAB,16.0,22.0,7.0,12.2,7.6,8.4,207.0,275.0,1.0,1.0,0.8,3.1,20.0,110.0,79.0,330.0,,,0
RIVER SUTLEJ AT ANANDPUR SAHIB,PUNJAB,15.0,23.0,7.4,12.3,7.1,8.5,202.0,298.0,1.0,1.0,0.9,6.0,22.0,210.0,110.0,470.0,,,0
RIVER SUTLEJ AT BUNGA SAHIB,PUNJAB,13.0,28.0,7.5,10.0,7.0,8.3,210.0,302.0,1.0,1.0,0.9,2.4,38.0,380.0,140.0,840.0,,,0
RIVER SUTLEJ AT PHILLAUR U/S,PUNJAB,15.0,35.0,4.6,8.4,7.6,8.1,248.0,574.0,1.0,3.0,0.3,1.4,200.0,1700.0,700.0,3900.0,,,0
RIVER SUTLEJ AT PHAGWARA U/S (CHAHERU BRIDGE),PUNJAB,15.0,35.0,0.3,5.8,7.2,8.1,518.0,1144.0,4.5,14.0,0.4,2.8,330.0,2300.0,1400.0,4300.0,,,0
"RIVER SUTLEJ AT PHAGWARA D/S (KANGANIWAL
BRIDGE)",PUNJAB,15.0,32.0,0.3,1.9,7.3,7.8,538.0,1248.0,4.8,21.0,0.4,2.0,1100.0,110000.0,6300.0,340000.0,,,0
RIVER SUTLEJ AT LUDHIANA U/S,PUNJAB,10.0,29.0,6.3,8.8,7.6,8.3,257.0,320.0,1.0,1.8,0.8,3.1,130.0,780.0,700.0,2600.0,,,0
RIVER SUTLEJ AT LUDHIANA D/S,PUNJAB,13.0,30.0,0.3,6.6,7.2,7.9,247.0,1245.0,2.3,75.0,1.4,3.8,17000.0,1700000.0,54000.0,6300000.0,,,0
"RIVER SUTLEJ AT 100M U/S OF HEADWORKS, NANGAL",PUNJAB,16.0,21.0,6.7,9.6,7.5,8.1,196.0,264.0,1.0,1.0,0.4,1.8,17.0,78.0,68.0,270.0,,,0
"RIVER SUTLEJ AT 100M D/S , NANGAL",PUNJAB,17.0,24.0,7.6,11.4,7.6,8.5,200.0,270.0,1.0,1.0,0.8,2.2,20.0,170.0,70.0,390.0,,,0
